Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,John Henson,50,51.93,Detroit Pistons,2056,29,2020,C,8,11,6,17.10,3.10,4.60,0.667,0.20,0.50,0.400,2.90,4.20,0.696,0.686,0.50,1.20,0.462,1.30,3.10,4.40,1.00,0.70,0.90,1.40,2.10,6.90,17.10,-0.1693584227,-0.1962317136,-0.2889741441,0.5463331641,0.1864143931,1.18985439285,0.1516408775,0.5701341658,0.13230116343
2020,C,Tony Bradley,51,51.7,Utah Jazz,503,11,2020,C,8,58,3,11.40,2.20,3.30,0.667,0.10,0.10,1.000,2.10,3.20,0.661,0.675,0.50,0.80,0.652,1.90,2.70,4.60,0.40,0.20,0.60,0.50,2.00,4.90,21.70,-0.5497681771,-0.7920769976,-0.2246433017,-0.8530858013,-0.3275958821,1.08302436543,0.9884307484,-0.7633397147,0.11987293647
2020,C,Jaxson Hayes,52,51.66,New Orleans Pelicans,2013,6,2020,C,7,64,14,16.90,2.70,4.00,0.672,0.00,0.10,0.250,2.70,4.00,0.678,0.674,1.90,3.00,0.647,1.50,2.50,4.00,0.90,0.40,0.90,0.80,2.50,7.40,17.60,-0.0742559841,-0.2955392609,-0.417635829,-0.2933182152,0.1864143931,1.07331254476,0.2425962982,-0.3188484212,0.11784278974
2020,C,Mo Bamba,53,51.48,Orlando Magic,214,19,2020,C,8,62,0,14.20,2.10,4.60,0.462,0.60,1.70,0.346,1.50,2.90,0.531,0.526,0.50,0.70,0.674,1.60,3.30,4.90,0.70,0.40,1.40,0.70,1.90,5.40,17.50,-0.4546657385,-0.4941543556,-0.1281470381,-0.2933182152,1.0430981852,-0.36403691495,0.2244052141,-0.4670121857,0.10823941263
2020,C,Chris Boucher,54,51.2,Toronto Raptors,465,26,2020,C,9,62,0,13.20,2.30,4.80,0.472,0.60,1.90,0.322,1.70,2.90,0.569,0.535,1.50,1.90,0.784,1.70,2.70,4.50,0.40,0.40,1.00,0.50,1.80,6.60,20.70,-0.2264198858,-0.7920769976,-0.2568087229,-0.2933182152,0.3577511516,-0.27663052889,0.8065199069,-0.7633397147,0.09375511327
2020,C,Gorgui Dieng,55,50.65,Minnesota Timberwolves,1192,2,2020,C,10,46,17,16.90,2.70,6.00,0.448,1.00,2.60,0.383,1.70,3.40,0.497,0.531,1.00,1.30,0.797,1.60,4.00,5.60,1.30,0.80,0.90,1.00,1.90,7.40,17.80,-0.0742559841,0.1016909285,0.0970109104,0.8262169572,0.1864143931,-0.31547781158,0.2789784665,-0.0225208922,0.06449672574
2020,C,Mason Plumlee,56,50.59,Denver Nuggets,3823,1,2020,C,13,61,1,17.30,2.90,4.70,0.615,0.00,0.10,0.000,2.90,4.60,0.625,0.615,1.40,2.50,0.535,1.60,3.60,5.20,2.50,0.50,0.60,1.30,2.30,7.20,18.80,-0.1122969595,1.2933814966,-0.0316507745,-0.0134344221,-0.3275958821,0.50031512501,0.4608893081,0.4219704013,0.06170823098
2020,C,Jeff Green,57,50.45,Houston Rockets,1793,10,2020,C,18,18,2,22.60,4.70,8.30,0.564,1.60,4.40,0.354,3.10,3.90,0.800,0.658,1.30,1.60,0.857,0.60,2.30,2.90,1.70,0.80,0.50,0.80,2.40,12.20,18.60,0.8387274265,0.4989211179,-0.7714554623,0.8262169572,-0.4989326405,0.91792341398,0.4245071398,-0.3188484212,0.05403804158
2020,C,Daniel Gafford,58,50.38,Chicago Bulls,1591,23,2020,C,7,43,7,14.20,2.20,3.10,0.701,0.00,0.00,,2.20,3.10,0.701,0.701,0.70,1.40,0.533,1.20,1.30,2.50,0.50,0.30,1.30,0.70,2.30,5.10,16.20,-0.5117272016,-0.6927694503,-0.9001171471,-0.5732020082,0.8717614268,1.33553170295,-0.0120788799,-0.4670121857,0.05020482178
2020,C,Jahlil Okafor,59,50.27,New Orleans Pelicans,3603,6,2020,C,7,30,9,15.60,3.40,5.40,0.623,0.00,0.10,0.333,3.30,5.30,0.629,0.627,1.30,2.10,0.645,1.60,2.60,4.20,1.20,0.20,0.70,1.30,2.20,8.10,18.30,0.05888743,0.0023833811,-0.3533049866,-0.8530858013,-0.1562591237,0.6168569731,0.3699338873,0.4219704013,0.04471018738
2020,C,Boban Marjanović,60,50.17,Dallas Mavericks,3011,4,2020,C,9,44,5,9.60,2.80,4.80,0.573,0.10,0.40,0.235,2.70,4.40,0.603,0.583,1.00,1.30,0.754,1.50,3.00,4.50,0.50,0.20,0.20,0.70,1.30,6.60,25.70,-0.2264198858,-0.6927694503,-0.2568087229,-0.8530858013,-1.0129429157,0.18953686345,1.7160741145,-0.4670121857,0.03937669492
